Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
113,Chicago,IL,41.8373,-87.6862,57,177,142
114,Tacoma,WA,47.2431,-122.4531,103,148,114
115,St. Petersburg,FL,27.793000000000003,-82.6652,125,43,115
116,Fort Wayne,IN,41.0885,-85.1436,136,115,50
117,Amarillo,TX,35.1989,-101.831,150,44,55
119,Phoenix,AZ,33.5722,-112.0891,90,130,156
120,Bakersfield,CA,35.353,-119.0359,122,46,135
121,Laredo,TX,27.5617,-99.4874,109,56,172
122,Worcester,MA,42.2705,-71.8079,117,113,126
123,Tucson,AZ,32.1545,-110.8782,101,112,145
124,Columbia,SC,34.0376,-80.9037,145,19,69
125,Greensboro,NC,36.0956,-79.8268,113,95,131
126,Warwick,RI,41.7062,-71.4334,131,83,104
127,Richmond,VA,37.5295,-77.4756,111,150,137
128,Lubbock,TX,33.5642,-101.8871,141,24,136
129,Springfield,MO,37.1943,-93.2915,137,105,97
130,San Bernardino,CA,34.1417,-117.2945,118,121,152
131,Casper,WY,42.842,-106.3207,164,61,119
132,Albuquerque,NM,35.1053,-106.6464,121,97,160
133,Corpus Christi,TX,27.7261,-97.3755,147,22,125
134,Chattanooga,TN,35.0657,-85.2487,142,141,77
135,Jacksonville,FL,30.3322,-81.6749,151,118,70
136,Newport News,VA,37.1051,-76.5185,124,165,123
137,Columbus,OH,39.986,-82.9851,132,153,113
138,Knoxville,TN,35.9692,-83.9496,160,85,52
139,Rochester,NY,43.168,-77.6162,133,111,146
140,Fresno,CA,36.7831,-119.7941,115,100,178
141,Spokane,WA,47.6671,-117.43299999999999,134,84,165
142,Oklahoma City,OK,35.4676,-97.5137,153,125,81
143,Fort Smith,AR,35.3493,-94.3695,171,75,71
144,Fayetteville,NC,35.0846,-78.9776,154,155,40
145,Wichita,KS,37.6897,-97.3441,138,129,134
146,Norfolk,VA,36.8945,-76.259,140,151,116
147,Providence,RI,41.823,-71.4187,155,81,92
148,Stockton,CA,37.9766,-121.3111,119,149,162
149,New Haven,CT,41.3112,-72.9246,126,133,175
150,North Las Vegas,NV,36.288000000000004,-115.0901,156,152,89
151,Buffalo,NY,42.9017,-78.8487,149,139,122
152,Juneau,AK,58.4546,-134.1739,162,5,181
153,Kansas City,MO,39.1239,-94.5541,130,147,167
154,Las Vegas,NV,36.2333,-115.2654,144,136,144
155,Indianapolis,IN,39.7771,-86.1458,146,174,86
156,Louisville,KY,38.1663,-85.6485,163,156,80
157,Milwaukee,WI,43.0642,-87.9673,127,178,151
158,New Orleans,LA,30.0687,-89.9288,167,135,103
159,Wilmington,DE,39.7415,-75.5413,161,140,138
160,Montgomery,AL,32.3473,-86.2666,158,170,95
161,Baltimore,MD,39.3051,-76.6144,139,173,166
162,Jackson,MS,32.3163,-90.2124,143,179,127
163,Baton Rouge,LA,30.4419,-91.131,152,138,163
164,Philadelphia,PA,40.0077,-75.1339,165,161,117
165,Shreveport,LA,32.4659,-93.7959,169,175,87
166,Columbus,GA,32.51,-84.8771,176,146,90
167,Cincinnati,OH,39.1412,-84.506,159,142,174
168,Newark,NJ,40.7245,-74.1725,128,181,180
169,Tulsa,OK,36.1284,-95.9043,172,87,155
170,Akron,OH,41.0798,-81.5219,170,169,147
171,St. Louis,MO,38.6358,-90.2451,166,167,157
172,Memphis,TN,35.1046,-89.9773,157,180,154
173,Mobile,AL,30.6782,-88.1163,173,171,150
174,Little Rock,AR,34.7255,-92.35799999999999,177,154,93
175,Augusta,GA,33.3645,-82.0708,175,162,133
176,Birmingham,AL,33.5277,-86.7987,174,159,168
177,Gulfport,MS,30.4271,-89.0703,178,172,83
178,Cleveland,OH,41.4767,-81.6805,168,176,179
179,Huntington,WV,38.4109,-82.4344,182,80,130
180,Toledo,OH,41.6639,-83.5822,179,164,171
181,Charleston,WV,38.3484,-81.6323,180,89,169
182,Detroit,MI,42.3834,-83.1024,181,182,182
