Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
1,Plano,TX,33.0502,-96.7487,7,6,8
2,Irvine,CA,33.6772,-117.7738,14,11,5
3,Madison,WI,43.0827,-89.3923,3,14,7
4,Fremont,CA,37.5265,-121.9852,10,37,1
5,Huntington Beach,CA,33.696,-118.0025,6,46,28
6,Fargo,ND,46.8653,-96.8292,17,20,24
7,Grand Prairie,TX,32.687,-97.0209,20,35,6
8,San Jose,CA,37.3021,-121.8489,1,18,44
9,Scottsdale,AZ,33.6872,-111.8651,46,13,2
10,San Francisco,CA,37.7562,-122.443,4,2,125
11,Bismarck,ND,46.81399999999999,-100.7695,25,4,45
12,Overland Park,KS,38.887,-94.68700000000001,22,56,26
13,Santa Rosa,CA,38.4458,-122.7067,23,53,9
14,Austin,TX,30.3006,-97.7517,15,8,80
15,Sioux Falls,SD,43.5397,-96.7321,11,67,95
16,Pearl City,HI,21.4031,-157.9566,2,147,15
17,Glendale,CA,34.1818,-118.2468,27,102,12
18,San Diego,CA,32.8312,-117.1225,8,36,46
19,St. Paul,MN,44.9477,-93.104,18,70,66
20,Charleston,SC,32.8151,-79.96300000000001,74,5,4
21,Gilbert,AZ,33.3103,-111.7463,54,48,10
22,Anaheim,CA,33.839,-117.8573,29,79,34
23,Raleigh,NC,35.8324,-78.6438,13,41,87
24,Cape Coral,FL,26.6445,-81.9955,51,87,3
25,Cedar Rapids,IA,41.9667,-91.6781,41,58,20
26,Minneapolis,MN,44.9635,-93.2678,5,26,137
27,Chula Vista,CA,32.6281,-117.0145,19,117,25
28,Pembroke Pines,FL,26.0128,-80.3382,47,89,14
29,Honolulu,HI,21.3294,-157.846,55,34,17
30,Des Moines,IA,41.5725,-93.6105,39,85,37
31,Irving,TX,32.8584,-96.9702,28,17,119
32,Santa Clarita,CA,34.4155,-118.4992,24,112,77
33,Chandler,AZ,33.2827,-111.8517,62,55,16
34,Oceanside,CA,33.2247,-117.3083,16,156,29
35,Omaha,NE,41.2628,-96.0498,56,80,19
36,Lincoln,NE,40.8088,-96.6796,32,86,62
37,Oakland,CA,37.7903,-122.2165,12,75,131
38,Billings,MT,45.7889,-108.5509,61,33,51
39,Tempe,AZ,33.3881,-111.9318,66,54,21
40,Garden Grove,CA,33.7787,-117.9601,37,107,67
