Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
41,Denver,CO,39.7621,-104.8759,21,64,116
42,Fort Worth,TX,32.7812,-97.3472,44,90,54
43,Burlington,VT,44.4877,-73.2314,53,10,120
44,Peoria,AZ,33.7844,-112.29899999999999,65,77,23
45,Port St. Lucie,FL,27.2796,-80.3884,76,73,13
46,Boise,ID,43.6007,-116.2312,68,19,48
47,Garland,TX,32.91,-96.6305,31,120,103
48,Aurora,CO,39.7084,-104.7274,26,121,104
49,El Paso,TX,31.8479,-106.4309,58,98,39
50,Arlington,TX,32.6998,-97.1251,40,128,59
51,Washington,DC,38.9047,-77.0163,9,40,167
52,Charlotte,NC,35.2079,-80.8304,52,92,57
53,Fort Lauderdale,FL,26.1412,-80.1464,59,60,92
54,Seattle,WA,47.6211,-122.3244,36,1,171
55,Aurora,IL,41.7637,-88.2901,38,164,56
56,Missoula,MT,46.8685,-114.0095,57,52,91
57,Santa Ana,CA,33.7366,-117.8819,50,103,73
58,Boston,MA,42.3188,-71.0846,34,12,152
59,Colorado Springs,CO,38.8674,-104.7606,72,69,36
60,Durham,NC,35.9795,-78.9032,30,28,113
61,Portland,ME,43.6773,-70.2715,48,49,149
62,Grand Rapids,MI,42.9615,-85.6557,83,31,49
63,Rancho Cucamonga,CA,34.1248,-117.5666,79,32,68
64,Salt Lake City,UT,40.7774,-111.93,80,9,82
65,Yonkers,NY,40.9466,-73.8674,45,157,79
66,Las Cruces,NM,32.3265,-106.7893,33,123,69
67,Rapid City,SD,44.0716,-103.2205,86,30,64
68,Dallas,TX,32.7936,-96.7662,35,109,123
69,South Burlington,VT,44.4622,-73.2203,90,63,31
70,Virginia Beach,VA,36.7335,-76.0435,73,105,43
71,Long Beach,CA,33.798,-118.1675,42,138,108
72,Anchorage,AK,61.1508,-149.1091,84,82,41
73,Cheyenne,WY,41.1405,-104.7927,78,23,127
74,Columbia,MD,39.2004,-76.859,49,101,138
75,Mesa,AZ,33.4017,-111.7181,77,116,47
76,Chesapeake,VA,36.6778,-76.3024,94,122,27
77,Reno,NV,39.5497,-119.8483,98,50,52
78,Tallahassee,FL,30.4551,-84.2527,91,42,85
79,Atlanta,GA,33.7627,-84.4225,64,88,100
80,Oxnard,CA,34.1962,-119.1819,71,151,30
81,Nampa,ID,43.5843,-116.5628,102,137,11
82,Los Angeles,CA,34.1139,-118.4068,43,104,146
83,Orlando,FL,28.4772,-81.3369,85,24,107
84,Portland,OR,45.5371,-122.65,92,27,102
85,Salem,OR,44.9232,-123.0245,101,29,90
86,Brownsville,TX,25.998,-97.4565,95,68,88
87,Pittsburgh,PA,40.4396,-79.9763,112,21,60
88,Riverside,CA,33.9381,-117.3948,100,22,105
89,Fontana,CA,34.0968,-117.4599,106,72,50
90,New York,NY,40.6943,-73.9249,70,152,74
91,Nashua,NH,42.7491,-71.491,82,100,96
92,Huntsville,AL,34.6988,-86.6412,130,47,22
93,Jersey City,NJ,40.7161,-74.0683,93,168,33
94,West Valley City,UT,40.6889,-112.0115,103,78,81
95,Manchester,NH,42.9848,-71.4447,96,113,63
96,Ontario,CA,34.0393,-117.6064,107,84,70
97,San Antonio,TX,29.4658,-98.5254,115,57,55
98,Amarillo,TX,35.1989,-101.831,119,45,78
99,Vancouver,WA,45.6367,-122.59700000000001,108,97,61
100,Tampa,FL,27.9942,-82.4451,121,38,58
101,Miami,FL,25.7839,-80.2102,63,39,179
102,Dover,DE,39.161,-75.5203,81,61,145
103,Moreno Valley,CA,33.9244,-117.2045,111,108,65
104,Glendale,AZ,33.5797,-112.2258,89,159,86
105,Nashville,TN,36.1715,-86.7843,126,96,35
106,Houston,TX,29.7869,-95.3905,69,132,139
107,Chicago,IL,41.8373,-87.6862,60,175,114
108,Columbia,SC,34.0376,-80.9037,137,7,83
109,Greensboro,NC,36.0956,-79.8268,97,94,98
110,Lewiston,ME,44.0915,-70.1681,151,43,84
111,Laredo,TX,27.5617,-99.4874,75,66,173
112,Hialeah,FL,25.8696,-80.3046,67,160,169
113,Henderson,NV,36.0146,-115.0362,120,125,53
115,Sacramento,CA,38.5667,-121.4683,114,59,118
116,Modesto,CA,37.6374,-121.0028,117,81,121
117,Newport News,VA,37.1051,-76.5185,105,155,128
118,Tucson,AZ,32.1545,-110.8782,99,114,134
119,Springfield,MO,37.1943,-93.2915,132,106,71
120,St. Petersburg,FL,27.793000000000003,-82.6652,135,25,133
121,Richmond,VA,37.5295,-77.4756,104,139,157
122,Tacoma,WA,47.2431,-122.4531,109,140,153
123,Warwick,RI,41.7062,-71.4334,136,44,151
124,Lubbock,TX,33.5642,-101.8871,133,16,142
125,Casper,WY,42.842,-106.3207,161,71,97
126,Kansas City,MO,39.1239,-94.5541,110,148,129
127,Phoenix,AZ,33.5722,-112.0891,87,136,172
128,Oklahoma City,OK,35.4676,-97.5137,155,110,38
129,Corpus Christi,TX,27.7261,-97.3755,145,15,124
130,Winston-Salem,NC,36.1029,-80.26100000000001,116,118,141
131,Juneau,AK,58.4546,-134.1739,160,3,175
132,Albuquerque,NM,35.1053,-106.6464,123,111,150
133,Columbus,OH,39.986,-82.9851,128,133,111
134,Bakersfield,CA,35.353,-119.0359,139,74,126
135,Bridgeport,CT,41.1918,-73.1953,88,169,161
136,Jacksonville,FL,30.3322,-81.6749,153,95,72
137,Knoxville,TN,35.9692,-83.9496,166,62,32
138,Louisville,KY,38.1663,-85.6485,158,124,42
139,Norfolk,VA,36.8945,-76.259,129,129,143
140,Chattanooga,TN,35.0657,-85.2487,167,99,40
141,Wichita,KS,37.6897,-97.3441,138,131,130
142,Worcester,MA,42.2705,-71.8079,125,149,159
143,Rochester,NY,43.168,-77.6162,134,142,140
144,San Bernardino,CA,34.1417,-117.2945,124,134,166
145,Buffalo,NY,42.9017,-78.8487,144,126,117
146,Fresno,CA,36.7831,-119.7941,127,119,158
147,Milwaukee,WI,43.0642,-87.9673,122,172,147
148,Baton Rouge,LA,30.4419,-91.131,140,93,168
149,Stockton,CA,37.9766,-121.3111,118,150,165
150,Spokane,WA,47.6671,-117.43299999999999,142,91,176
151,Indianapolis,IN,39.7771,-86.1458,147,177,89
152,Fort Wayne,IN,41.0885,-85.1436,152,143,132
153,New Orleans,LA,30.0687,-89.9288,164,127,76
154,North Las Vegas,NV,36.288000000000004,-115.0901,157,158,99
155,Las Vegas,NV,36.2333,-115.2654,149,146,144
156,Tulsa,OK,36.1284,-95.9043,170,83,110
157,Wilmington,DE,39.7415,-75.5413,156,144,154
158,Providence,RI,41.823,-71.4187,169,115,122
159,New Haven,CT,41.3112,-72.9246,131,141,182
160,Montgomery,AL,32.3473,-86.2666,143,176,155
161,Baltimore,MD,39.3051,-76.6144,148,161,177
162,Jackson,MS,32.3163,-90.2124,150,178,178
163,Shreveport,LA,32.4659,-93.7959,171,173,75
164,Memphis,TN,35.1046,-89.9773,146,179,156
165,Philadelphia,PA,40.0077,-75.1339,168,165,115
166,Columbus,GA,32.51,-84.8771,174,154,109
167,Fayetteville,NC,35.0846,-78.9776,159,153,170
168,Akron,OH,41.0798,-81.5219,154,166,174
169,Cincinnati,OH,39.1412,-84.506,165,145,162
170,Fort Smith,AR,35.3493,-94.3695,176,135,136
171,St. Louis,MO,38.6358,-90.2451,162,170,160
172,Augusta,GA,33.3645,-82.0708,175,163,106
173,Mobile,AL,30.6782,-88.1163,172,174,135
174,Newark,NJ,40.7245,-74.1725,141,182,180
175,Huntington,WV,38.4109,-82.4344,182,51,18
176,Little Rock,AR,34.7255,-92.35799999999999,178,130,101
177,Gulfport,MS,30.4271,-89.0703,179,162,94
178,Cleveland,OH,41.4767,-81.6805,163,180,164
179,Birmingham,AL,33.5277,-86.7987,173,167,163
180,Charleston,WV,38.3484,-81.6323,180,65,93
181,Toledo,OH,41.6639,-83.5822,177,171,148
182,Detroit,MI,42.3834,-83.1024,181,181,181
