Overall Rank,City,state_id,Emotional & Physical Well-Being Rank,Income & Employment Rank ,Community & Environment Rank
1,Fremont, CA,3,6,1
2,Bismarck, ND,4,1,7
3,San Jose, CA,1,8,27
4,Pearl City, HI,2,57,2
5,Plano, TX,8,17,10
6,Fargo, ND,12,2,13
7,Sioux Falls, SD,7,48,20
8,Irvine, CA,13,33,11
9,Huntington Beach, CA,16,25,28
10,Grand Prairie, TX,29,16,3
11,Madison, WI,11,34,14
12,Columbia, MD,31,58,5
13,San Francisco, CA,5,4,126
14,Scottsdale, AZ,54,27,6
15,Overland Park, KS,23,54,34
16,Santa Clarita, CA,28,51,24
17,Glendale, CA,36,83,9
18,Oakland, CA,6,45,143
19,St. Paul, MN,17,62,67
20,Gilbert, AZ,60,13,23
21,Austin, TX,10,11,163
22,Santa Rosa, CA,22,37,79
23,Lincoln, NE,38,77,26
24,Des Moines, IA,18,71,122
25,Irving, TX,25,15,132
26,Honolulu, HI,65,10,29
27,Garden Grove, CA,40,90,31
28,Cedar Rapids, IA,46,41,39
29,Anaheim, CA,30,61,59
30,Garland, TX,24,73,92
31,Minneapolis, MN,9,40,134
32,San Diego, CA,14,28,74
33,Charleston, SC,82,9,12
34,Seattle, WA,42,5,99
35,Chula Vista, CA,21,84,53
36,Rancho Cucamonga, CA,70,26,30
37,Cape Coral, FL,52,79,19
38,Port St. Lucie, FL,45,92,56
39,Fort Worth, TX,33,68,109
40,Chandler, AZ,66,29,45
41,Raleigh, NC,20,65,104
42,Peoria, AZ,73,49,21
43,Oceanside, CA,19,139,50
44,Portland, ME,49,46,105
45,Aurora, IL,39,142,46
46,El Paso, TX,37,43,130
47,Brownsville, TX,56,67,43
48,Chesapeake, VA,85,127,4
49,Pembroke Pines, FL,69,87,15
50,Arlington, TX,35,99,110
51,Charlotte, NC,46,101,48
52,Burlington, VT,43,7,178
53,Oxnard, CA,41,111,55
54,Virginia Beach, VA,72,112,16
55,Aurora, CO,48,86,83
56,Durham, NC,26,55,96
57,Boise, ID,76,35,62
58,Tempe, AZ,74,47,81
59,Grand Rapids, MI,78,64,47
60,Missoula, MT,89,19,63
61,Yonkers, NY,57,124,73
62,Omaha, NE,59,74,91
63,Boston, MA,62,18,106
64,Rapid City, SD,101,52,17
65,Billings, MT,93,23,52
66,Denver, CO,32,63,131
67,Fontana, CA,91,66,22
68,Colorado Springs, CO,88,59,36
69,Juneau, AK,58,3,152
70,Long Beach, CA,51,93,116
71,Santa Ana, CA,44,110,120
72,Cheyenne, WY,96,22,94
73,Washington, DC,15,31,171
74,Tallahassee, FL,95,38,117
75,Los Angeles, CA,50,72,127
76,Anchorage, AK,87,56,72
77,Mesa, AZ,79,88,87
78,Las Cruces, NM,67,100,86
79,Riverside, CA,83,53,101
80,New York, NY,71,113,77
