Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
114,Sacramento,CA,38.5667,-121.4683,92,85,148
115,Glendale,AZ,33.5797,-112.2258,86,148,145
116,Salem,OR,44.9232,-123.0245,147,20,108
117,Columbia,SC,34.0376,-80.9037,144,39,88
118,Springfield,MO,37.1943,-93.2915,138,107,68
119,Greensboro,NC,36.0956,-79.8268,112,114,111
121,Newport News,VA,37.1051,-76.5185,116,152,98
122,Phoenix,AZ,33.5722,-112.0891,84,141,153
123,Spokane,WA,47.6671,-117.43299999999999,140,75,69
124,Hialeah,FL,25.8696,-80.3046,64,168,180
125,Bakersfield,CA,35.353,-119.0359,129,117,102
126,Miami,FL,25.7839,-80.2102,63,120,182
127,Tampa,FL,27.9942,-82.4451,126,108,128
128,San Bernardino,CA,34.1417,-117.2945,107,149,155
129,Wichita,KS,37.6897,-97.3441,114,126,157
130,Lubbock,TX,33.5642,-101.8871,142,14,169
131,Tucson,AZ,32.1545,-110.8782,104,121,160
132,Bridgeport,CT,41.1918,-73.1953,108,153,147
133,Jacksonville,FL,30.3322,-81.6749,132,125,124
134,Norfolk,VA,36.8945,-76.259,118,150,129
135,Oklahoma City,OK,35.4676,-97.5137,156,122,64
136,Worcester,MA,42.2705,-71.8079,133,116,138
137,St. Petersburg,FL,27.793000000000003,-82.6652,143,36,161
138,Corpus Christi,TX,27.7261,-97.3755,148,24,164
139,Providence,RI,41.823,-71.4187,158,135,37
140,Winston-Salem,NC,36.1029,-80.26100000000001,125,132,144
141,Albuquerque,NM,35.1053,-106.6464,130,109,159
142,Milwaukee,WI,43.0642,-87.9673,115,169,141
143,Louisville,KY,38.1663,-85.6485,165,135,49
144,Indianapolis,IN,39.7771,-86.1458,137,172,89
145,North Las Vegas,NV,36.288000000000004,-115.0901,162,162,40
146,Fresno,CA,36.7831,-119.7941,106,163,151
147,Rochester,NY,43.168,-77.6162,123,157,158
148,New Orleans,LA,30.0687,-89.9288,160,133,78
149,Knoxville,TN,35.9692,-83.9496,170,104,38
150,Cincinnati,OH,39.1412,-84.506,141,165,100
151,Richmond,VA,37.5295,-77.4756,117,159,176
152,Dover,DE,39.161,-75.5203,97,130,177
153,Baton Rouge,LA,30.4419,-91.131,136,103,167
154,Stockton,CA,37.9766,-121.3111,128,151,149
155,Buffalo,NY,42.9017,-78.8487,146,154,135
156,Las Vegas,NV,36.2333,-115.2654,155,156,123
157,Fayetteville,NC,35.0846,-78.9776,169,147,85
158,New Haven,CT,41.3112,-72.9246,150,160,150
159,Baltimore,MD,39.3051,-76.6144,135,158,166
160,Akron,OH,41.0798,-81.5219,157,171,113
161,Augusta,GA,33.3645,-82.0708,164,170,80
162,Chattanooga,TN,35.0657,-85.2487,172,129,97
163,Philadelphia,PA,40.0077,-75.1339,171,143,103
164,Fort Smith,AR,35.3493,-94.3695,177,119,65
165,Montgomery,AL,32.3473,-86.2666,166,175,75
166,Memphis,TN,35.1046,-89.9773,153,179,136
167,Jackson,MS,32.3163,-90.2124,163,177,90
168,St. Louis,MO,38.6358,-90.2451,151,178,146
169,Newark,NJ,40.7245,-74.1725,121,182,170
170,Tulsa,OK,36.1284,-95.9043,168,123,162
171,Toledo,OH,41.6639,-83.5822,167,161,140
172,Shreveport,LA,32.4659,-93.7959,174,164,95
173,Cleveland,OH,41.4767,-81.6805,154,180,156
174,Columbus,GA,32.51,-84.8771,175,167,57
175,Mobile,AL,30.6782,-88.1163,176,174,84
176,Wilmington,DE,39.7415,-75.5413,161,155,181
177,Charleston,WV,38.3484,-81.6323,180,70,121
178,Little Rock,AR,34.7255,-92.35799999999999,178,146,118
179,Gulfport,MS,30.4271,-89.0703,179,166,82
180,Huntington,WV,38.4109,-82.4344,181,97,142
181,Birmingham,AL,33.5277,-86.7987,173,176,175
182,Detroit,MI,42.3834,-83.1024,182,181,174
